OBJECTID,Island (Code),Date,Observer Initials,Header/Observer Memo,Time (of initial observation),Beach/Location Name (from standardized list),Location Description / Comment,Size,Sex,Beach Position,Body Condition,Seal ID (permanent #),Bleach / Temp #,TAG #,P (Tag Location),Tag Color,% Molt,Disturbance (by observer),Notes,Photos?,created_user,created_date,last_edited_user,last_edited_date,Latitude,Longitude,Mom/Pup Nursing Pair?,GlobalID,x,y
139,15,6/7/2021 16:52,KM,Kelly Moore,6/7/2021 16:53,PAPALOA,North Papaloa. ,P,M,1,F,RP70,MP2,,,,,0,Mom and pup positioned high on the beach in the pine needles. Pup feeding.,Y,KellyMoore@nps.gov_nps,6/7/2021 16:55,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,0329f355-a04d-4b7c-b0e8-68f6fa6bf606,-156.9816631,21.19877628
140,15,6/7/2021 16:57,KM,Kelly Moore,6/7/2021 16:57,PAPALOA,North Papaloa. ,A,F,1,F,R125,,I,R,R,,0,Mom and pup positioned high on the beach in the pine needles. Pup feeding.,Y,KellyMoore@nps.gov_nps,6/7/2021 16:59,KellyMoore@nps.gov_nps,6/7/2021 17:00,,,Y,a5039890-b948-46c4-b222-f18a47fbacd1,-156.9816426,21.19881969
141,15,6/7/2021 17:01,KM,Kelly Moore,6/7/2021 17:01,PAPALOA,North Papaloa. ,P,F,1,F,RP60,MP5,,,,,0,Mom sleeping. Pup restless and rolling around a bit. ,Y,KellyMoore@nps.gov_nps,6/7/2021 17:02,gpuig_santana@nps.gov_nps,4/26/2022 18:14,,,Y,3ae038e5-4190-4c7d-ba11-7067788e9d6a,-156.9818691,21.19849399
142,15,6/7/2021 17:03,KM,Kelly Moore,6/7/2021 17:03,PAPALOA,North Papaloa. ,A,F,1,F,RN12,,N13,R,R,,0,Mom sleeping. Pup restless and rolling around a bit. ,Y,KellyMoore@nps.gov_nps,6/7/2021 17:04,KellyMoore@nps.gov_nps,6/7/2021 17:06,,,Y,08ab35f7-4edb-4de4-9961-83cf06b97122,-156.9818691,21.19849399
143,15,6/7/2021 17:34,KM,Kelly Moore,6/7/2021 17:15,PAPALOA,Mid-Papaloa ,P,,1,F,RP40,MP7,,,,,0,Mom and pup laying in shallow pool on rocky high spot. Tide low. Pup feeding. Bleach Mark difficult to see. ****Unable to tell apart with RP50.,Y,KellyMoore@nps.gov_nps,6/7/2021 17:36,gpuig_santana@nps.gov_nps,4/26/2022 18:09,,,Y,eed39c21-d665-4ff1-b1b7-699665cc2e78,-156.9828317,21.19749481
144,15,6/7/2021 17:36,KM,Kelly Moore,6/7/2021 17:16,PAPALOA,,A,F,1,F,RA10,,,,,,0,Mom and pup laying in shallow pool on rocky high spot. Tide low. Pup feeding. Pup MP7 bleach hard to make out. ,Y,KellyMoore@nps.gov_nps,6/7/2021 17:37,KellyMoore@nps.gov_nps,6/7/2021 19:05,,,Y,d096d214-c1d6-43ee-b0da-70a9eeaf1cf1,-156.9828317,21.19749481
145,15,6/7/2021 17:49,KM,Kelly Moore,6/7/2021 17:36,PAPALOA,Mid-Papaloa ,A,F,1,F,T22,,,,,,0,"Maybe T22? Both mom and pup in shallow pool. Pup moving around, spinning, swimming. Mom on belly relaxing. Another adult (possibly male?) began to swim into the same pool, but stopped and turned around and swam out. ",Y,KellyMoore@nps.gov_nps,6/7/2021 17:51,KellyMoore@nps.gov_nps,6/8/2021 22:29,,,Y,5cf60f8a-4485-4923-9ed8-3f8cf9c234c1,-156.9832865,21.19491224
146,15,6/7/2021 17:51,KM,Kelly Moore,6/7/2021 17:38,PAPALOA,Mid-Papaloa ,P,,1,F,RP36,MP9,,,,,0,"Maybe pup of T22? Both mom and pup in shallow pool. Pup moving around, spinning, swimming. Mom on belly relaxing. Another adult (possibly male?) began to swim into the same pool, but stopped and turned around and swam out. ",Y,KellyMoore@nps.gov_nps,6/7/2021 17:52,gpuig_santana@nps.gov_nps,4/26/2022 18:03,,,Y,c9b30fef-0474-4f24-88cb-4a385b3138ab,-156.9832865,21.19491224
147,15,6/7/2021 18:02,KM,Kelly Moore,6/7/2021 18:02,PAPALOA,Mid-Papaloa ,A,F,1,F,RL04,,,,,,0,Mom and pup resting right along the water line. Unknown adult (probably male) swimming along the shore and got close to the pair. The mom vocalized and the unknown adult left. Unknown IDs. ,Y,KellyMoore@nps.gov_nps,6/7/2021 18:04,KellyMoore@nps.gov_nps,6/8/2021 22:28,,,Y,ed89bccc-fc49-4c14-8f01-59f69ba051ce,-156.9829492,21.19593448
148,15,6/7/2021 18:04,KM,Kelly Moore,6/7/2021 18:05,PAPALOA,Mid-Papaloa ,P,U,1,F,RP50,MP6,,,,,0,Mom and pup resting right along the water line. Unknown adult (probably male) swimming along the shore and got close to the pair. The mom vocalized and the unknown adult left. Unknown IDs. ****Unable to tell apart with RP40. ,Y,KellyMoore@nps.gov_nps,6/7/2021 18:06,gpuig_santana@nps.gov_nps,4/26/2022 18:12,,,Y,52b08268-a2ac-41e7-8c91-fb9776281cb0,-156.9829492,21.19593448
149,15,6/7/2021 18:09,KM,Kelly Moore,6/7/2021 18:00,PAPALOA,Mid-Papaloa - swimming,A,M,0,F,,,,,,,0,Possible male that was swimming around just offshore. Visited two females with pups. Eventually hauled out on some rocks. ,Y,KellyMoore@nps.gov_nps,6/7/2021 18:10,KellyMoore@nps.gov_nps,6/8/2021 22:27,,,N,0d64d203-e85b-48ba-8623-0cd7996ece08,-156.9832153,21.19538044
150,15,6/7/2021 18:26,KM,Kelly Moore,6/7/2021 18:26,PAPALOA,South end of Papaloa,P,,1,F,RP88,MP3,,,,,0,Mom and pup MP3 vocalizing and pup feeding. Mom hauled out onto rocks. ,Y,KellyMoore@nps.gov_nps,6/7/2021 18:28,gpuig_santana@nps.gov_nps,4/26/2022 18:15,,,Y,61dfe8dc-48bb-4576-a34d-e5b3f6fb3853,-156.9840343,21.1922508
151,15,6/7/2021 18:28,KM,Kelly Moore,6/7/2021 18:28,PAPALOA,South end of Papaloa,A,F,1,F,RK62,,,,R,,0,Mom and pup MP3 vocalizing and pup feeding. Mom hauled out onto rocks. ,Y,KellyMoore@nps.gov_nps,6/7/2021 18:29,KellyMoore@nps.gov_nps,6/7/2021 18:29,,,Y,eb4983c4-7c70-4388-86f9-e366308e894b,-156.9840343,21.1922508
152,15,6/8/2021 20:54,KM,Kelly Moore,6/8/2021 20:54,PAPALOA,Northern Papaloa,P,,0,F,RP70,MP2 ,,,,,0,"Mom and pup laying in a shallow pool along the offshore rocky shelf. Pup rolling around and stayed floating on its back, mom pretty still. ",Y,KellyMoore@nps.gov_nps,6/8/2021 20:59,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,e873c8f6-74d6-47e0-9574-506a4cca5b0b,-156.9817435,21.19910621
153,15,6/8/2021 20:59,KM,Kelly Moore,6/8/2021 20:59,PAPALOA,Northern Papaloa,A,F,0,F,RI125,,,,R,,0,"Mom and pup laying in a shallow pool along the offshore rocky shelf. Pup rolling around and stayed floating on its back, mom pretty still. ",Y,KellyMoore@nps.gov_nps,6/8/2021 21:00,KellyMoore@nps.gov_nps,6/8/2021 21:01,,,Y,3b48332e-2009-4d8c-a84f-cf8026bf531c,-156.9817435,21.19910621
154,15,6/8/2021 21:08,KM,Kelly Moore,6/8/2021 21:08,PAPALOA,Mid Papaloa,S,F,1,F,RA10,,,,,,0,Mom and pup resting in shallow pool along the shelf. An unknown confirmed male adult is resting nearby. ,Y,KellyMoore@nps.gov_nps,6/8/2021 21:10,KellyMoore@nps.gov_nps,6/8/2021 21:16,,,Y,6f76879e-a1dd-4db3-91b4-651da747593f,-156.9828421,21.19745391
155,15,6/8/2021 21:18,KM,Kelly Moore,6/8/2021 21:18,PAPALOA,Mid Papaloa,P,,1,F,RP40,MP7,,,,,0,Mom and pup resting in shallow pool along the shelf. An unknown confirmed male adult is resting nearby. ****Unable to tell apart with RP50. ,Y,KellyMoore@nps.gov_nps,6/8/2021 21:19,gpuig_santana@nps.gov_nps,4/26/2022 18:09,,,Y,4b18e0d0-0e9f-44e8-b3f5-c67c54fd1aad,-156.9828421,21.19745391
156,15,6/8/2021 21:28,KM,Kelly Moore,6/8/2021 21:28,PAPALOA,Mid Papaloa,P,,0,F,RP50,MP6,,,,,1,"Mom and pup started out in outer edge of the shallow pool on the shelf and the pup eventually led the mom off the shelf and into deeper water, swimming. ****Unable to tell apart with RP40.",,KellyMoore@nps.gov_nps,6/8/2021 21:30,gpuig_santana@nps.gov_nps,4/26/2022 18:12,,,,1026f2e3-4c29-4013-9a31-3cddee2f66eb,-156.9832086,21.19721863
157,15,6/8/2021 21:30,KM,Kelly Moore,6/8/2021 21:30,PAPALOA,Mid Papaloa,A,F,0,F,RL04,,,,R,,1,"Mom and pup started out in outer edge of the shallow pool on the shelf and the pup eventually led the mom off the shelf and into deeper water, swimming.",Y,KellyMoore@nps.gov_nps,6/8/2021 21:31,KellyMoore@nps.gov_nps,6/8/2021 22:15,,,Y,f357b0e1-9639-46bc-ba53-e7211b900b12,-156.9832086,21.19721863
158,15,6/8/2021 21:39,KM,Kelly Moore,6/8/2021 21:40,PAPALOA,Mid Papaloa,A,F,1,F,T22,,T22,,R,,0,Mom and pup resting along the water line. ,Y,KellyMoore@nps.gov_nps,6/8/2021 21:41,KellyMoore@nps.gov_nps,6/8/2021 21:41,,,Y,30247d96-c971-4a3a-a8fd-8b5a3b3567c4,-156.9833501,21.19443227
159,15,6/8/2021 21:41,KM,Kelly Moore,6/8/2021 21:41,PAPALOA,Mid Papaloa,P,,1,F,RP36,MP9,,,,,0,Mom and pup resting along the water line. ,Y,KellyMoore@nps.gov_nps,6/8/2021 21:42,gpuig_santana@nps.gov_nps,4/26/2022 18:03,,,Y,5986988c-b210-42e5-9ac0-e99878998d10,-156.9833501,21.19443227
160,15,6/8/2021 21:48,KM,Kelly Moore,6/8/2021 21:48,PAPALOA,Southern Papaloa,A,F,1,F,RK62,,,,R,,0,Mom and pup resting along the water line. Pup feeding. ,Y,KellyMoore@nps.gov_nps,6/8/2021 21:49,KellyMoore@nps.gov_nps,6/8/2021 21:49,21.19251799,-156.9837646,Y,92dbcaab-afe5-492e-965e-7df4b2c8d3ec,-156.9837501,21.19251457
161,15,6/8/2021 21:50,KM,Kelly Moore,6/8/2021 21:50,PAPALOA,Southern Papaloa,P,,1,F,RP88,MP3,,,,,0,Mom and pup resting along the water line. Pup feeding. ,Y,KellyMoore@nps.gov_nps,6/8/2021 21:50,gpuig_santana@nps.gov_nps,4/26/2022 18:15,,,Y,5cbf31e6-1445-4e80-9dd9-97f4afcfb720,-156.9837501,21.19251457
162,15,6/8/2021 22:09,KM,Kelly Moore,6/8/2021 21:09,PAPALOA,Northern Papaloa,A,M,1,F,,,,,,,0,Confirmed male resting with mom and pup. ,Y,KellyMoore@nps.gov_nps,6/8/2021 22:10,KellyMoore@nps.gov_nps,6/8/2021 22:10,,,N,45547239-392f-4821-b314-9bbfd313cb8d,-156.9829015,21.19749685
163,15,6/11/2021 17:27,KM,Kelly Moore,6/11/2021 17:27,PAPALOA,North Papaloa,A,F,0,F,RI25,,,,,,0,Mom and pup swimming/playing offshore. ,N,KellyMoore@nps.gov_nps,6/11/2021 17:28,KellyMoore@nps.gov_nps,6/11/2021 23:27,,,Y,3206f806-e9ae-466d-9fca-5957fcba4ae4,-156.9819391,21.19892759
164,15,6/11/2021 17:28,KM,Kelly Moore,6/11/2021 17:29,PAPALOA,North Papaloa,P,,0,F,RP70,MP2,,,,,0,Mom and pup swimming/playing offshore. ,N,KellyMoore@nps.gov_nps,6/11/2021 17:29,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,46b5fff3-2cde-4182-bce0-6c762fc43ca8,-156.9819391,21.19892759
165,15,6/11/2021 17:37,KM,Kelly Moore,6/11/2021 17:37,PAPALOA,North Papaloa,A,F,1,F,RK48,,,,R,,0,Mom and pup resting. New pup! Placenta nearby. Will collect,Y,KellyMoore@nps.gov_nps,6/11/2021 17:38,KellyMoore@nps.gov_nps,6/11/2021 18:06,,,Y,5c927129-d4b5-4df7-8983-5a4a17eec629,-156.9820872,21.19823457
166,15,6/11/2021 17:39,KM,Kelly Moore,6/11/2021 17:39,PAPALOA,North Papaloa,P,,1,F,RP26,MP10,,,,,0,Mom and pup resting. New pup! Placenta nearby. Will collect,Y,KellyMoore@nps.gov_nps,6/11/2021 17:39,gpuig_santana@nps.gov_nps,4/26/2022 18:20,,,Y,48cde308-1e31-4396-8816-f2ee77ebc4cb,-156.9820872,21.19823457
167,15,6/11/2021 17:43,KM,Kelly Moore,6/11/2021 17:43,PAPALOA,North Papaloa,A,F,0,F,RN12,,,,,,0,Mom and pup swimming/playing offshore. ,Y,KellyMoore@nps.gov_nps,6/11/2021 17:44,KellyMoore@nps.gov_nps,6/11/2021 23:25,,,Y,1c13d0cc-8a55-4ce0-acbb-0deabd47ff9b,-156.9831279,21.19762441
168,15,6/11/2021 17:44,KM,Kelly Moore,6/11/2021 17:44,PAPALOA,North Papaloa,P,,0,F,RP60,MP5,,,,,0,Mom and pup swimming/playing offshore. ,Y,KellyMoore@nps.gov_nps,6/11/2021 17:45,gpuig_santana@nps.gov_nps,4/26/2022 18:14,,,Y,213f9fe6-e272-42e2-b195-83ee4d3c3b89,-156.9831279,21.19762441
169,15,6/11/2021 17:49,KM,Kelly Moore,6/11/2021 17:49,PAPALOA,Mid Papaloa,P,,1,F,RP40,MP7,,,,,0,Mom and pup resting in a shallow pool along the water line. ****Unable to tell apart with RP50.,Y,KellyMoore@nps.gov_nps,6/11/2021 17:49,gpuig_santana@nps.gov_nps,4/26/2022 18:09,,,Y,5c8580bc-7884-4969-bc17-117f1f9a9171,-156.9828626,21.19737998
170,15,6/11/2021 17:50,KM,Kelly Moore,6/11/2021 17:50,PAPALOA,Mid Papaloa,A,F,1,F,RA10,,,,R,,0,Mom and pup resting in a shallow pool along the water line. ,Y,KellyMoore@nps.gov_nps,6/11/2021 17:51,KellyMoore@nps.gov_nps,6/11/2021 17:51,,,Y,6039542a-543d-4248-b1de-7a47e83064d5,-156.9828626,21.19737998
171,15,6/11/2021 17:55,KM,Kelly Moore,6/11/2021 17:55,PAPALOA,Mid Papaloa,A,F,,F,RT22,,,,,,0,Mom and pup resting in a shallow pool on the shelf. ,Y,KellyMoore@nps.gov_nps,6/11/2021 17:56,KellyMoore@nps.gov_nps,6/11/2021 23:29,,,Y,697621eb-9fe2-42bc-bb9c-2ea242e0fbb9,-156.9829391,21.19668172
172,15,6/11/2021 17:56,KM,Kelly Moore,6/11/2021 17:56,PAPALOA,Mid Papaloa,P,,,F,RP36,MP9,,,,,0,Mom and pup resting in a shallow pool on the shelf. ,Y,KellyMoore@nps.gov_nps,6/11/2021 17:57,gpuig_santana@nps.gov_nps,4/26/2022 18:03,,,Y,553a1dd6-0a91-48f2-a084-a194e4bc3759,-156.9829391,21.19668172
173,15,6/11/2021 17:59,KM,Kelly Moore,6/11/2021 17:59,PAPALOA,Mid Papaloa,A,F,1,F,RL04,,,,,,0,Mom and pup resting in a shallow pool along the water line. ,Y,KellyMoore@nps.gov_nps,6/11/2021 17:59,KellyMoore@nps.gov_nps,6/11/2021 17:59,,,Y,cfb839b7-29d1-482b-865b-a5c521c46e4e,-156.9829512,21.19618486
174,15,6/11/2021 18:00,KM,Kelly Moore,6/11/2021 18:00,PAPALOA,Mid Papaloa,P,,1,F,RP50,MP6,,,,,0,Mom and pup resting in a shallow pool along the water line. ****Unable to tell apart with RP40.,Y,KellyMoore@nps.gov_nps,6/11/2021 18:00,gpuig_santana@nps.gov_nps,4/26/2022 18:12,,,Y,c70d84c2-5464-4749-9147-1b3b550ef332,-156.9829512,21.19618486
175,15,6/11/2021 18:12,KM,Kelly Moore,6/11/2021 18:12,PAPALOA,South Papaloa ,A,F,1,T,RK62 ,,,,R,,0,Mom and pup resting on the beach. ,Y,KellyMoore@nps.gov_nps,6/11/2021 18:13,KellyMoore@nps.gov_nps,6/11/2021 18:15,,,Y,df5a73d1-8d43-4dbc-80f5-3aec54e8d5a5,-156.9836912,21.19256427
176,15,6/11/2021 18:14,KM,Kelly Moore,6/11/2021 18:14,PAPALOA,South Papaloa ,P,,1,F,RP88,MP3,,,,,0,Mom and pup resting on the beach. ,Y,KellyMoore@nps.gov_nps,6/11/2021 18:14,gpuig_santana@nps.gov_nps,4/26/2022 18:15,,,Y,d5139068-a1d3-4b26-821e-ef2fb42bc403,-156.9836912,21.19256427
177,15,6/14/2021 17:04,KM,Kelly Moore,6/14/2021 17:04,PAPALOA,North Papaloa ,A,F,1,F,RI25,,,,,,0,Mom and pup on rocky shelf offshore. Pup feeding. Looking big!,Y,KellyMoore@nps.gov_nps,6/14/2021 17:05,KellyMoore@nps.gov_nps,6/14/2021 17:05,,,Y,c69c4325-dda4-4bbb-b029-e312423f64de,-156.9817901,21.19908633
178,15,6/14/2021 17:06,KM,Kelly Moore,6/14/2021 17:06,PAPALOA,North Papaloa ,P,,1,F,RP70,MP2,,,,,0,Mom and pup on rocky shelf offshore. Pup feeding. Looking big!,Y,KellyMoore@nps.gov_nps,6/14/2021 17:06,gpuig_santana@nps.gov_nps,4/26/2022 18:17,,,Y,85462376-1d45-4b46-b75c-6b893843030a,-156.9817901,21.19908633
179,15,6/14/2021 17:08,KM,Kelly Moore,6/14/2021 17:08,PAPALOA,North Papaloa ,A,F,1,F,RK48 ,,,,R,,0,Mom and pup resting mid way up beach. Pup looks healthy. ,Y,KellyMoore@nps.gov_nps,6/14/2021 17:12,KellyMoore@nps.gov_nps,6/14/2021 17:12,,,Y,18cd786a-ab81-4f3f-83ed-6278f8794ab5,-156.9820619,21.19825676
180,15,6/14/2021 17:13,KM,Kelly Moore,6/14/2021 17:13,PAPALOA,North Papaloa ,P,,1,T,RP26,MP10,,,,,0,Mom and pup resting mid way up beach. Pup looks healthy. ,Y,KellyMoore@nps.gov_nps,6/14/2021 17:13,gpuig_santana@nps.gov_nps,4/26/2022 18:20,,,Y,a7e9e69e-054a-48c9-8d07-c267c01fe611,-156.9820619,21.19825676
181,15,6/14/2021 17:26,KM,Kelly Moore,6/14/2021 17:26,PAPALOA,Mid Papaloa ,A,F,1,F,RN12 ,,,,R,,0,Mom and pup laying in shallow pool. One lone adult and a mom/pup pair vocalizing and swimming just slightly offshore. ,Y,KellyMoore@nps.gov_nps,6/14/2021 17:28,KellyMoore@nps.gov_nps,6/14/2021 17:28,,,Y,aee90cc6-9c38-4d49-a158-2c6e0f4d4b05,-156.9829605,21.1964941
182,15,6/14/2021 17:28,KM,Kelly Moore,6/14/2021 17:28,PAPALOA,Mid Papaloa ,P,,1,F,RP60,MP5,,,,,0,Mom and pup laying in shallow pool. One lone adult and a mom/pup pair vocalizing and swimming just slightly offshore. ,Y,KellyMoore@nps.gov_nps,6/14/2021 17:29,gpuig_santana@nps.gov_nps,4/26/2022 18:14,,,Y,d52555f8-206e-4b00-8758-e010464035cb,-156.9829605,21.1964941
183,15,6/14/2021 17:31,KM,Kelly Moore,6/14/2021 17:31,PAPALOA,Mid Papaloa ,A,F,0,F,,,,,,,0,Mom and pup swimming and playing in the water. Two other mom/pup pairs nearby. All vocalizing. ,Y,KellyMoore@nps.gov_nps,6/14/2021 17:33,KellyMoore@nps.gov_nps,6/14/2021 17:33,,,Y,826c27ef-3e2b-468f-ab9d-020ef2a8301f,-156.9830083,21.19638111
184,15,6/14/2021 17:33,KM,Kelly Moore,6/14/2021 17:33,PAPALOA,Mid Papaloa ,P,,0,F,,,,,,,0,Mom and pup swimming and playing in the water. Two other mom/pup pairs nearby. All vocalizing. ,Y,KellyMoore@nps.gov_nps,6/14/2021 17:34,KellyMoore@nps.gov_nps,6/14/2021 17:34,,,Y,e14fabd7-7648-4ec9-abbe-fd122c94b30f,-156.9830083,21.19638111
185,15,6/14/2021 17:35,KM,Kelly Moore,6/14/2021 17:35,PAPALOA,Mid Papaloa ,A,F,0,F,,,,,,,0,Mom and pup 100m offshore swimming. ,N,KellyMoore@nps.gov_nps,6/14/2021 17:36,KellyMoore@nps.gov_nps,6/14/2021 17:36,,,Y,5de8d6b3-dea0-4294-9026-f58584129dd1,-156.9831302,21.19636322
186,15,6/14/2021 17:36,KM,Kelly Moore,6/14/2021 17:36,PAPALOA,Mid Papaloa ,P,,0,F,,,,,,,0,Mom and pup 100m offshore swimming. ,N,KellyMoore@nps.gov_nps,6/14/2021 17:37,KellyMoore@nps.gov_nps,6/14/2021 17:37,,,Y,6171bd53-63a7-47cd-b40a-02d84af56af0,-156.9831302,21.19636322
187,15,6/14/2021 17:49,KM,Kelly Moore,6/14/2021 17:49,PAPALOA,South Papaloa ,P,,0,F,RP88,MP3 ,,,,,1,Mom swimming nearby and pup rolling around in a shallow pool. Both VERY vocal. ,Y,KellyMoore@nps.gov_nps,6/14/2021 17:51,gpuig_santana@nps.gov_nps,4/26/2022 18:16,21.19366487,-156.9835682,Y,b2ad3dd1-ca18-488e-ab94-4c57036c7399,-156.9835538,21.19366145
188,15,6/14/2021 17:52,KM,Kelly Moore,6/14/2021 17:52,PAPALOA,South Papaloa ,A,F,0,F,RK62 ,,,,R,,1,"Mom swimming nearby and pup rolling around in a shallow pool. Both VERY vocal. Mom aggressively chased off another adult, possibly male. ",Y,KellyMoore@nps.gov_nps,6/14/2021 17:53,KellyMoore@nps.gov_nps,6/14/2021 17:53,,,Y,baa33ff5-14f0-4bac-a47b-2a8a0fe53f2b,-156.9835538,21.19366145
189,15,6/14/2021 18:00,KM,Kelly Moore,6/14/2021 18:00,PAPALOA,South Papaloa ,A,F,1,F,RN18,,,,,,,New mom with MP11! Both look fine. She gave birth on the rocks. Was able to locate placenta to collect. ,Y,KellyMoore@nps.gov_nps,6/14/2021 18:01,KellyMoore@nps.gov_nps,6/14/2021 20:36,,,Y,0396d43c-ff7b-42c7-b021-98fc4685b5c3,-156.9835546,21.19341067
190,15,6/14/2021 18:02,KM,Kelly Moore,6/14/2021 18:02,PAPALOA,South Papaloa ,P,,1,T,RP92,MP11,,,,,,New mom with MP11! Both look fine. She gave birth on the rocks. Was able to locate placenta to collect. ,Y,KellyMoore@nps.gov_nps,6/14/2021 18:03,gpuig_santana@nps.gov_nps,4/26/2022 18:19,,,Y,dfeb1caa-8b5d-4942-9904-27f39dbac83b,-156.9835546,21.19341067
191,15,6/14/2021 18:03,KM,Kelly Moore,6/14/2021 17:55,PAPALOA,South Papaloa ,A,,0,F,,,,,,,,Adult swam up to RK62 and got chased away. ,N,KellyMoore@nps.gov_nps,6/14/2021 18:04,KellyMoore@nps.gov_nps,6/14/2021 18:04,,,N,72ed94e4-a071-450e-a570-80b0482487d2,-156.9837721,21.19357007
192,15,6/16/2021 17:41,GPS,Glauco Antonio Puig-Santana,6/16/2021 17:41,PAPALOA,South Papaloa ,A,F,1,F,RN18,,,,,,0,Sleeping on beach ,Y,gpuig_santana@nps.gov_nps,6/16/2021 17:42,gpuig_santana@nps.gov_nps,6/16/2021 17:42,,,Y,a169c8a0-1c7a-40d4-96a0-3cb957dc0e25,-156.9834883,21.19359368
193,15,6/16/2021 17:42,GPS,Glauco Antonio Puig-Santana,6/16/2021 17:42,PAPALOA,South Papaloa ,P,U,1,M,RP92,MP11,,,,,0,Sleeping on beach ,Y,gpuig_santana@nps.gov_nps,6/16/2021 17:43,gpuig_santana@nps.gov_nps,4/26/2022 18:19,,,Y,994f7946-a109-426a-8798-f9bf7375fa1b,-156.9834883,21.19359368
194,15,6/16/2021 17:43,GPS,Glauco Antonio Puig-Santana,6/16/2021 17:43,PAPALOA,South Papaloa ,A,F,0,M,RK62,,,,,,0,Vocalizing with RN18. Swimming along shoreline with MP3. Lip scar observed. ,Y,gpuig_santana@nps.gov_nps,6/16/2021 17:45,gpuig_santana@nps.gov_nps,6/16/2021 17:45,,,Y,c798d708-d86c-47fc-8e9a-daf5a608dc08,-156.9835912,21.19365266
195,15,6/16/2021 17:45,GPS,Glauco Antonio Puig-Santana,6/16/2021 17:45,PAPALOA,South Papaloa ,P,M,0,M,RP88,MP3,,,,,0,Vocalizing with RN18. Swimming along shoreline with MP3. Lip scar observed. ,Y,gpuig_santana@nps.gov_nps,6/16/2021 17:45,gpuig_santana@nps.gov_nps,4/26/2022 18:16,,,Y,c0a40880-9c94-4029-9528-8d093c5a37b2,-156.9835912,21.19365266
196,15,6/16/2021 18:25,GPS,Glauco Antonio Puig-Santana,6/16/2021 18:25,PAPALOA,Mid Papaloa,A,F,1,M,RL04,,,,,,0,Sleeping on beach ,Y,gpuig_santana@nps.gov_nps,6/16/2021 18:26,gpuig_santana@nps.gov_nps,6/16/2021 18:26,,,Y,980c69ca-1ea2-4d69-abfd-347b9430b381,-156.9829119,21.19676908
197,15,6/16/2021 18:26,GPS,Glauco Antonio Puig-Santana,6/16/2021 18:26,PAPALOA,Mid Papaloa,P,M,1,M,RP50,MP6,,,,,0,Sleeping on beach. ****Unable to tell apart with RP40. ,Y,gpuig_santana@nps.gov_nps,6/16/2021 18:27,gpuig_santana@nps.gov_nps,4/26/2022 18:12,,,Y,cdf9c1eb-a7e4-4d40-941d-fded11e3af6a,-156.9829119,21.19676908
198,15,6/16/2021 18:28,GPS,Glauco Antonio Puig-Santana,6/16/2021 18:28,PAPALOA,Mid Papaloa,W ,M,0,M,,MP1,None,,,,0,Bleach Tag K1. Was attacked by RL04 in the water ,Y,gpuig_santana@nps.gov_nps,6/16/2021 18:29,gpuig_santana@nps.gov_nps,4/26/2022 18:22,,,N,603ea5ff-24a6-4f66-aecd-104029329aaa,-156.9831863,21.19687701
199,15,6/16/2021 18:30,GPS,Glauco Antonio Puig-Santana,6/16/2021 18:30,PAPALOA,Mid Papaloa,A,F,0,M,RN12,,,,,,0,Swimming in shallow pool in mid Papaloa. ,Y,gpuig_santana@nps.gov_nps,6/16/2021 18:36,gpuig_santana@nps.gov_nps,6/16/2021 18:36,,,Y,a78ace70-e8c3-4361-bb59-edf607042f5c,-156.9832313,21.1968294
200,15,6/16/2021 18:36,GPS,Glauco Antonio Puig-Santana,6/16/2021 18:37,PAPALOA,Mid Papaloa,P,F,0,M,RP60,MP5,,,,,0,Swimming in shallow pool in mid Papaloa. ,Y,gpuig_santana@nps.gov_nps,6/16/2021 18:40,gpuig_santana@nps.gov_nps,4/26/2022 18:14,,,Y,58d24816-b648-40b5-8672-80667bb9ffac,-156.9832313,21.1968294
201,15,6/16/2021 18:59,GPS,Glauco Antonio Puig-Santana,6/16/2021 18:59,PAPALOA,Mid Papaloa,A,F,0,M,RA10,,,,R,,0,Sleeping in shallow pool,Y,gpuig_santana@nps.gov_nps,6/16/2021 19:01,gpuig_santana@nps.gov_nps,6/16/2021 19:01,,,Y,6432bdf7-c97f-48b1-9afb-9cbc530067a3,-156.9828066,21.19773151
202,15,6/16/2021 19:01,GPS,Glauco Antonio Puig-Santana,6/16/2021 19:01,PAPALOA,Mid Papaloa,P,M,0,M,RP40,MP7,,,,,0,Sleeping in shallow pool. ****Unable to tell apart with RP50.,Y,gpuig_santana@nps.gov_nps,6/16/2021 19:02,gpuig_santana@nps.gov_nps,4/26/2022 18:09,,,Y,a2fd73a8-ae9b-4bdc-a3ee-5293ace65ac5,-156.9828066,21.19773151
203,15,6/16/2021 19:04,GPS,Glauco Antonio Puig-Santana,6/16/2021 19:04,PAPALOA,Mid Papaloa,A,F,0,M,RT22,,T22,L,R,,0,Sleeping in shallow pool. ,Y,gpuig_santana@nps.gov_nps,6/16/2021 19:05,gpuig_santana@nps.gov_nps,6/16/2021 19:05,,,Y,88285e12-269e-4117-9e0e-e9d5c3c9c40d,-156.9826243,21.19795833
